phase,metric,p_value,p_value_corrected,effect_size_r
phase_1,state_entropy,0.785129221936649,1.0,0.003146839999999984
phase_1,compression_ratio,0.7552448579018824,1.0,-0.003592559999999967
phase_1,predictability_hamming,3.670788977895369e-15,4.0378678756849055e-14,-0.0755612000000001
phase_1,morans_i,0.9354475658508883,1.0,0.0010415241971112321
phase_1,cluster_count,0.003272811507755747,0.029455303569801725,0.033644959999999946
phase_1,same_state_adjacency_fraction,1.9532490694731557e-05,0.00019532490694731556,-0.053194353608022604
phase_1,neighbor_mutual_information,0.7197349587647188,1.0,0.003933720000000029
phase_1,quasi_periodicity_peaks,0.2119516096920847,1.0,0.012486639999999993
phase_1,phase_transition_max_delta,0.9374297806624863,1.0,0.0009065200000000218
phase_1,action_entropy_mean,2.5666851210466497e-48,3.0800221452559795e-47,-0.16866559999999997
phase_1,action_entropy_variance,1.2792812154355764e-97,1.7909937016098068e-96,-0.24213244
phase_1,block_ncd,5.7551358625807185e-58,7.481676621354934e-57,-0.18999286029087714
phase_1,mi_shuffle_null,0.7271720404854647,1.0,0.003998920000000017
phase_1,mi_excess,0.7122747653783893,1.0,0.003405360000000024
phase_2,state_entropy,0.761704498299244,1.0,0.003501199999999982
phase_2,compression_ratio,0.9595894915846966,1.0,-0.0005838400000000021
phase_2,predictability_hamming,1.3789774875740468e-07,1.5168752363314514e-06,-0.0522599719943988
phase_2,morans_i,0.8960146421912806,1.0,0.0016126879453257636
phase_2,cluster_count,0.02839965810552556,0.25559692294973,0.02499815999999999
phase_2,same_state_adjacency_fraction,0.004001896862714103,0.04001896862714103,-0.03467678454141154
phase_2,neighbor_mutual_information,0.7157042732517455,1.0,0.004152319999999987
phase_2,quasi_periodicity_peaks,0.12074612910875934,0.9659690328700747,0.017028240000000028
phase_2,phase_transition_max_delta,0.9590029667427921,1.0,0.0005936399999999509
phase_2,action_entropy_mean,1.3642097610617238e-28,1.6370517132740686e-27,-0.12809160000000008
phase_2,action_entropy_variance,1.5178165204816483e-76,2.1249431286743075e-75,-0.21382176000000008
phase_2,block_ncd,1.679874037040267e-52,2.1838362481523473e-51,-0.17975108412836072
phase_2,mi_shuffle_null,0.763794035599127,1.0,0.003461119999999984
phase_2,mi_excess,0.7326336526629568,1.0,0.0037983999999999796
phase_3,state_entropy,7.330956268223294e-37,6.597860641400964e-36,0.13937896000000005
phase_3,compression_ratio,4.7923287758112316e-08,1.4376986327433695e-07,0.06289668000000004
phase_3,predictability_hamming,4.51200541713537e-48,4.51200541713537e-47,-0.16726507999999995
phase_3,morans_i,0.5977326578853781,0.5977326578853781,0.009323625320910023
phase_3,cluster_count,8.084209932903273e-34,6.467367946322619e-33,0.12944975999999997
phase_3,same_state_adjacency_fraction,2.4942651029858342e-95,2.7436916132844176e-94,-0.30110672041901765
phase_3,neighbor_mutual_information,9.336074890817433e-14,5.60164493449046e-13,0.0649476
phase_3,quasi_periodicity_peaks,4.233396594142955e-135,5.503415572385842e-134,0.28479736
phase_3,phase_transition_max_delta,1.9946039837525404e-05,3.989207967505081e-05,0.04925595999999999
phase_3,action_entropy_mean,1.7184970330771597e-09,6.873988132308639e-09,-0.06954419999999994
phase_3,action_entropy_variance,3.997206911852305e-205,5.596089676593227e-204,-0.35290964
phase_3,block_ncd,2.993519174368788e-111,3.5922230092425456e-110,-0.27189843033083805
phase_3,mi_shuffle_null,5.468681418373023e-20,3.828076992861116e-19,0.09075847999999997
phase_3,mi_excess,9.88056957651971e-14,5.60164493449046e-13,0.05648248
