phase,metric,p_value,p_value_corrected,effect_size_r
phase_1,state_entropy,0.001190800280953865,0.01190800280953865,-0.03740779999999999
phase_1,compression_ratio,0.2107001691931254,1.0,0.014422680000000021
phase_1,predictability_hamming,0.6938312896992593,1.0,0.003954759999999946
phase_1,morans_i,0.10873972401184265,0.7611780680828986,0.02068413004653047
phase_1,cluster_count,0.008467791304011102,0.07621012173609991,0.030165679999999973
phase_1,same_state_adjacency_fraction,0.1309165226322532,0.7854991357935193,0.018578193878399762
phase_1,neighbor_mutual_information,0.5806351579457273,1.0,-0.006037759999999892
phase_1,quasi_periodicity_peaks,0.0005885212837410995,0.006473734121152094,0.034617119999999946
phase_1,phase_transition_max_delta,2.9638929303884035e-05,0.00038530608095049243,0.04822475999999998
phase_1,action_entropy_mean,1.1431004745754645e-05,0.00016003406644056502,0.05067275999999998
phase_1,action_entropy_variance,0.035485807238806684,0.28388645791045347,0.024281960000000047
phase_1,block_ncd,9.187663399803824e-05,0.0011025196079764588,0.04724218818384096
phase_1,mi_shuffle_null,0.2773498102252562,1.0,-0.01244076000000005
phase_1,mi_excess,0.7972434132344333,1.0,0.0023697200000000196
phase_2,state_entropy,1.7475963485303968e-10,1.634359777561614e-09,-0.0736812
phase_2,compression_ratio,0.4057639261118873,0.8115278522237745,0.009577999999999975
phase_2,predictability_hamming,1.563383316994703e-11,1.7197216486941734e-10,0.0700233265296788
phase_2,morans_i,2.1434550770017753e-06,1.0717275385008877e-05,0.058955550218053654
phase_2,cluster_count,0.8491592643864284,0.8491592643864284,0.0021737600000000246
phase_2,same_state_adjacency_fraction,2.2387174267316476e-17,2.686460912077977e-16,0.10180334860055906
phase_2,neighbor_mutual_information,4.8840754185889084e-08,2.930445251153345e-07,-0.06195843999999995
phase_2,quasi_periodicity_peaks,5.3897828550921214e-09,3.772847998564485e-08,0.06436512000000005
phase_2,phase_transition_max_delta,9.109755861196028e-28,1.2753658205674438e-26,0.12611543999999997
phase_2,action_entropy_mean,7.963564211272475e-22,1.0352633474654218e-20,0.11086143999999998
phase_2,action_entropy_variance,2.8327975179572796e-05,0.00011331190071829118,0.04834408000000001
phase_2,block_ncd,1.6600438283783943e-10,1.634359777561614e-09,0.07657406902274622
phase_2,mi_shuffle_null,0.020078652337133126,0.060235957011399374,-0.026748839999999996
phase_2,mi_excess,1.634359777561614e-10,1.634359777561614e-09,-0.07031268000000002
phase_3,state_entropy,2.1570967198224337e-38,1.94138704784019e-37,-0.1319485600000001
phase_3,compression_ratio,1.1540918850535418e-16,3.462275655160625e-16,-0.09541884
phase_3,predictability_hamming,0.018609818640262402,0.037219637280524805,-0.02707367999999999
phase_3,morans_i,0.0702838259271636,0.0702838259271636,0.04198287032573189
phase_3,cluster_count,4.8625815580997594e-17,1.9450326232399037e-16,0.09062367999999998
phase_3,same_state_adjacency_fraction,9.884298559283842e-43,1.0872728415212225e-41,0.18491061126528396
phase_3,neighbor_mutual_information,2.7147015805401846e-38,2.1717612644321477e-37,-0.0963842800000001
phase_3,quasi_periodicity_peaks,1.3598898650978065e-81,1.7678568246271486e-80,-0.21911791999999997
phase_3,phase_transition_max_delta,1.7972572484287528e-23,8.986286242143764e-23,-0.11528672000000006
phase_3,action_entropy_mean,1.1522633578086974e-39,1.1522633578086974e-38,-0.15219084000000005
phase_3,action_entropy_variance,4.2279522904125764e-24,2.5367713742475458e-23,0.11693308000000002
phase_3,block_ncd,2.3617420415799116e-141,3.306438858211876e-140,-0.3263888004442328
phase_3,mi_shuffle_null,3.2666847775656917e-68,3.92002173307883e-67,-0.1484539600000001
phase_3,mi_excess,9.962147727494688e-25,6.973503409246282e-24,-0.06473091999999991
